audio_path,queen_status,queen_presence,hive_number,device,datetime,hive_temp,hive_humidity,class_name
../archive/sound_files/sound_files/2022-06-26--00-55-53_2__segment1.wav,1,0,1,2,2022-06-26 0:55:53,19.34,39.6,Queenless
../archive/sound_files/sound_files/2022-07-03--08-14-28_2__segment2.wav,3,1,1,2,2022-07-03 8:14:28,23.09,36.99,Queen_Accepted
../archive/sound_files/sound_files/2022-06-25--04-47-09_2__segment0.wav,0,1,1,2,2022-06-25 4:47:09,21.09,36.26,Queenright
../archive/sound_files/sound_files/2022-07-11--00-32-00_2__segment0.wav,3,1,1,2,2022-07-11 0:32:00,20.61,44.98,Queen_Accepted
../archive/sound_files/sound_files/2022-07-07--05-24-42_2__segment2.wav,3,1,1,2,2022-07-07 5:24:42,19.78,44.47,Queen_Accepted
../archive/sound_files/sound_files/2022-06-29--17-00-11_2__segment2.wav,2,1,1,2,2022-06-29 17:00:11,26.36,37.35,Queen_New
../archive/sound_files/sound_files/2022-07-10--22-33-37_2__segment2.wav,3,1,1,2,2022-07-10 22:33:37,22.6,43.54,Queen_Accepted
../archive/sound_files/sound_files/2022-06-15--17-24-59_2__segment2.wav,0,1,1,2,2022-06-15 17:24:59,27.84,26.83,Queenright
../archive/sound_files/sound_files/2022-06-30--07-47-14_2__segment2.wav,2,1,1,2,2022-06-30 7:47:14,22.82,42.49,Queen_New
../archive/sound_files/sound_files/2022-07-08--06-09-51_2__segment4.wav,3,1,1,2,2022-07-08 6:09:51,16.16,38.48,Queen_Accepted
../archive/sound_files/sound_files/2022-06-15--12-30-15_2__segment0.wav,0,1,1,2,2022-06-15 12:30:15,49.86,10.31,Queenright
../archive/sound_files/sound_files/2022-07-09--14-57-13_2__segment0.wav,3,1,1,2,2022-07-09 14:57:13,31.6,28.24,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--13-09-27_2__segment3.wav,0,1,1,2,2022-06-16 13:09:27,47.17,11.58,Queenright
../archive/sound_files/sound_files/2022-07-12--01-24-45_2__segment4.wav,3,1,1,2,2022-07-12 1:24:45,19.06,45.24,Queen_Accepted
../archive/sound_files/sound_files/2022-07-11--10-27-12_2__segment1.wav,3,1,1,2,2022-07-11 10:27:12,50.72,13.82,Queen_Accepted
../archive/sound_files/sound_files/2022-06-26--03-53-30_2__segment1.wav,1,0,1,2,2022-06-26 3:53:30,18.24,40.26,Queenless
../archive/sound_files/sound_files/2022-06-28--18-29-56_2__segment4.wav,2,1,1,2,2022-06-28 18:29:56,28.86,30.01,Queen_New
../archive/sound_files/sound_files/2022-07-03--16-08-07_2__segment0.wav,3,1,1,2,2022-07-03 16:08:07,27.56,33.38,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--22-33-37_2__segment5.wav,3,1,1,2,2022-07-10 22:33:37,22.6,43.54,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--11-43-06_2__segment3.wav,3,1,1,2,2022-07-10 11:43:06,52.58,11.23,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--11-36-55_2__segment2.wav,3,1,1,2,2022-07-06 11:36:55,42.4,26.67,Queen_Accepted
../archive/sound_files/sound_files/2022-07-09--06-58-12_2__segment5.wav,3,1,1,2,2022-07-09 6:58:12,19.67,43.19,Queen_Accepted
../archive/sound_files/sound_files/2022-07-09--14-57-13_2__segment3.wav,3,1,1,2,2022-07-09 14:57:13,31.6,28.24,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--15-16-06_2__segment1.wav,1,0,1,2,2022-06-27 15:16:06,33.24,26.21,Queenless
../archive/sound_files/sound_files/2022-06-28--08-14-40_2__segment5.wav,2,1,1,2,2022-06-28 8:14:40,33.75,37.4,Queen_New
../archive/sound_files/sound_files/2022-06-27--11-19-45_2__segment1.wav,1,0,1,2,2022-06-27 11:19:45,49.66,15.37,Queenless
../archive/sound_files/sound_files/2022-07-06--20-28-23_2__segment4.wav,3,1,1,2,2022-07-06 20:28:23,21.67,42.24,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--16-08-07_2__segment4.wav,3,1,1,2,2022-07-03 16:08:07,27.56,33.38,Queen_Accepted
../archive/sound_files/sound_files/2022-06-30--17-39-21_2__segment0.wav,2,1,1,2,2022-06-30 17:39:21,25.77,30.54,Queen_New
../archive/sound_files/sound_files/2022-06-29--07-19-04_2__segment4.wav,2,1,1,2,2022-06-29 7:19:04,23.38,33.83,Queen_New
../archive/sound_files/sound_files/2022-07-14--09-52-14_2__segment4.wav,3,1,1,2,2022-07-14 9:52:14,44.94,20.78,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--08-12-31_2__segment1.wav,0,1,1,2,2022-06-16 8:12:31,33.74,30.06,Queenright
../archive/sound_files/sound_files/2022-06-30--09-46-45_2__segment5.wav,2,1,1,2,2022-06-30 9:46:45,41.57,28.43,Queen_New
../archive/sound_files/sound_files/2022-07-04--09-58-25_2__segment3.wav,3,1,1,2,2022-07-04 9:58:25,40.42,27.3,Queen_Accepted
../archive/sound_files/sound_files/2022-06-15--05-32-54_2__segment3.wav,0,1,1,2,2022-06-15 5:32:54,18.69,26.58,Queenright
../archive/sound_files/sound_files/2022-07-11--06-28-05_2__segment2.wav,3,1,1,2,2022-07-11 6:28:05,17.9,42.76,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--02-19-13_2__segment5.wav,3,1,1,2,2022-07-03 2:19:13,20.76,35.58,Queen_Accepted
../archive/sound_files/sound_files/2022-06-25--04-47-09_2__segment1.wav,0,1,1,2,2022-06-25 4:47:09,21.09,36.26,Queenright
../archive/sound_files/sound_files/2022-07-07--11-20-34_2__segment3.wav,3,1,1,2,2022-07-07 11:20:34,48.39,19.94,Queen_Accepted
../archive/sound_files/sound_files/2022-07-07--17-16-34_2__segment2.wav,3,1,1,2,2022-07-07 17:16:34,28.78,32.1,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--18-30-44_2__segment0.wav,3,1,1,2,2022-07-06 18:30:44,26.96,34.53,Queen_Accepted
../archive/sound_files/sound_files/2022-07-12--10-18-46_2__segment3.wav,3,1,1,2,2022-07-12 10:18:46,46.26,23.11,Queen_Accepted
../archive/sound_files/sound_files/2022-07-09--21-51-33_2__segment5.wav,3,1,1,2,2022-07-09 21:51:33,20.34,45.53,Queen_Accepted
../archive/sound_files/sound_files/2022-06-24--22-52-03_2__segment5.wav,0,1,1,2,2022-06-24 22:52:03,23.01,37.17,Queenright
../archive/sound_files/sound_files/2022-06-29--06-19-34_2__segment3.wav,2,1,1,2,2022-06-29 6:19:34,19.05,31.05,Queen_New
../archive/sound_files/sound_files/2022-07-11--21-21-30_2__segment3.wav,3,1,1,2,2022-07-11 21:21:30,23.08,45.74,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--04-17-36_2__segment3.wav,3,1,1,2,2022-07-03 4:17:36,20.56,34.4,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--15-33-11_2__segment0.wav,3,1,1,2,2022-07-06 15:33:11,29.7,30.73,Queen_Accepted
../archive/sound_files/sound_files/2022-07-07--13-19-30_2__segment5.wav,3,1,1,2,2022-07-07 13:19:30,45.4,18.3,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--16-15-16_2__segment1.wav,1,0,1,2,2022-06-27 16:15:16,32.69,26.97,Queenless
../archive/sound_files/sound_files/2022-07-04--03-03-26_2__segment3.wav,3,1,1,2,2022-07-04 3:03:26,18.53,35.13,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--09-43-41_2__segment5.wav,3,1,1,2,2022-07-10 9:43:41,44.41,25.42,Queen_Accepted
../archive/sound_files/sound_files/2022-07-14--15-03-25_2__segment5.wav,3,1,1,2,2022-07-14 15:03:25,32.99,28.95,Queen_Accepted
../archive/sound_files/sound_files/2022-07-05--22-44-10_2__segment0.wav,3,1,1,2,2022-07-05 22:44:10,19.76,45.01,Queen_Accepted
../archive/sound_files/sound_files/2022-07-04--18-53-55_2__segment2.wav,3,1,1,2,2022-07-04 18:53:55,28.48,34.59,Queen_Accepted
../archive/sound_files/sound_files/2022-06-24--16-57-37_2__segment0.wav,0,1,1,2,2022-06-24 16:57:37,33.31,27.73,Queenright
../archive/sound_files/sound_files/2022-06-15--06-32-29_2__segment1.wav,0,1,1,2,2022-06-15 6:32:29,19.55,26.89,Queenright
../archive/sound_files/sound_files/2022-07-12--15-12-56_2__segment0.wav,3,1,1,2,2022-07-12 15:12:56,32.89,29.52,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--05-40-59_2__segment2.wav,3,1,1,2,2022-07-06 5:40:59,20.83,46.19,Queen_Accepted
../archive/sound_files/sound_files/2022-06-15--08-32-07_2__segment0.wav,0,1,1,2,2022-06-15 8:32:07,37.82,27.19,Queenright
../archive/sound_files/sound_files/2022-07-11--08-28-20_2__segment3.wav,3,1,1,2,2022-07-11 8:28:20,37.45,35.05,Queen_Accepted
../archive/sound_files/sound_files/2022-06-24--12-02-08_2__segment3.wav,0,1,1,2,2022-06-24 12:02:08,39.64,20.42,Queenright
../archive/sound_files/sound_files/2022-07-14--18-01-02_2__segment4.wav,3,1,1,2,2022-07-14 18:01:02,29.08,32.47,Queen_Accepted
../archive/sound_files/sound_files/2022-07-15--01-05-24_2__segment0.wav,3,1,1,2,2022-07-15 1:05:24,17.91,35.78,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--16-05-45_2__segment2.wav,0,1,1,2,2022-06-16 16:05:45,28.39,24.82,Queenright
../archive/sound_files/sound_files/2022-06-16--22-59-34_2__segment4.wav,0,1,1,2,2022-06-16 22:59:34,19.91,52.48,Queenright
../archive/sound_files/sound_files/2022-07-03--22-07-30_2__segment0.wav,3,1,1,2,2022-07-03 22:07:30,18.37,34.11,Queen_Accepted
../archive/sound_files/sound_files/2022-07-12--03-23-08_2__segment4.wav,3,1,1,2,2022-07-12 3:23:08,18.44,46.12,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--14-07-27_2__segment2.wav,0,1,1,2,2022-06-16 14:07:27,37.18,18.71,Queenright
../archive/sound_files/sound_files/2022-06-29--15-12-27_2__segment1.wav,2,1,1,2,2022-06-29 15:12:27,30.99,25.97,Queen_New
../archive/sound_files/sound_files/2022-06-27--05-32-42_2__segment1.wav,1,0,1,2,2022-06-27 5:32:42,20.99,41.18,Queenless
../archive/sound_files/sound_files/2022-07-06--17-31-12_2__segment0.wav,3,1,1,2,2022-07-06 17:31:12,27.06,34.49,Queen_Accepted
../archive/sound_files/sound_files/2022-06-25--21-58-20_2__segment3.wav,1,0,1,2,2022-06-25 21:58:20,20.9,39.44,Queenless
../archive/sound_files/sound_files/2022-06-15--15-26-47_2__segment1.wav,0,1,1,2,2022-06-15 15:26:47,31.43,25.73,Queenright
../archive/sound_files/sound_files/2022-07-12--05-21-31_2__segment4.wav,3,1,1,2,2022-07-12 5:21:31,17.9,46.58,Queen_Accepted
../archive/sound_files/sound_files/2022-07-05--06-52-51_2__segment0.wav,3,1,1,2,2022-07-05 6:52:51,22.38,46.98,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--06-14-12_2__segment4.wav,0,1,1,2,2022-06-16 6:14:12,19.07,35.39,Queenright
../archive/sound_files/sound_files/2022-07-09--21-51-33_2__segment1.wav,3,1,1,2,2022-07-09 21:51:33,20.34,45.53,Queen_Accepted
../archive/sound_files/sound_files/2022-07-14--22-57-30_2__segment0.wav,3,1,1,2,2022-07-14 22:57:30,19.12,35.58,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--17-31-12_2__segment2.wav,3,1,1,2,2022-07-06 17:31:12,27.06,34.49,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--23-21-51_2__segment2.wav,2,1,1,2,2022-06-27 23:21:51,20.35,54.25,Queen_New
../archive/sound_files/sound_files/2022-06-15--13-28-45_2__segment0.wav,0,1,1,2,2022-06-15 13:28:45,45.29,12.58,Queenright
../archive/sound_files/sound_files/2022-06-29--08-18-26_2__segment2.wav,2,1,1,2,2022-06-29 8:18:26,30.38,35.78,Queen_New
../archive/sound_files/sound_files/2022-07-04--19-52-59_2__segment5.wav,3,1,1,2,2022-07-04 19:52:59,26.55,38.84,Queen_Accepted
../archive/sound_files/sound_files/2022-07-05--15-45-44_2__segment3.wav,3,1,1,2,2022-07-05 15:45:44,32.53,33.34,Queen_Accepted
../archive/sound_files/sound_files/2022-06-15--11-30-55_2__segment2.wav,0,1,1,2,2022-06-15 11:30:55,50.0,10.88,Queenright
../archive/sound_files/sound_files/2022-07-09--03-02-18_2__segment2.wav,3,1,1,2,2022-07-09 3:02:18,17.04,41.03,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--11-43-06_2__segment5.wav,3,1,1,2,2022-07-10 11:43:06,52.58,11.23,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--15-33-11_2__segment4.wav,3,1,1,2,2022-07-06 15:33:11,29.7,30.73,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--21-08-19_2__segment0.wav,3,1,1,2,2022-07-03 21:08:19,19.1,35.51,Queen_Accepted
../archive/sound_files/sound_files/2022-06-30--06-47-59_2__segment5.wav,2,1,1,2,2022-06-30 6:47:59,21.47,51.1,Queen_New
../archive/sound_files/sound_files/2022-07-06--00-42-40_2__segment5.wav,3,1,1,2,2022-07-06 0:42:40,20.61,45.04,Queen_Accepted
../archive/sound_files/sound_files/2022-07-09--22-50-18_2__segment1.wav,3,1,1,2,2022-07-09 22:50:18,19.26,43.69,Queen_Accepted
../archive/sound_files/sound_files/2022-07-05--06-52-51_2__segment2.wav,3,1,1,2,2022-07-05 6:52:51,22.38,46.98,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--09-13-44_2__segment0.wav,3,1,1,2,2022-07-03 9:13:44,24.77,37.28,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--00-36-44_2__segment5.wav,1,0,1,2,2022-06-27 0:36:44,18.72,38.71,Queenless
../archive/sound_files/sound_files/2022-07-15--02-05-35_2__segment2.wav,3,1,1,2,2022-07-15 2:05:35,17.77,35.55,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--07-43-18_2__segment5.wav,3,1,1,2,2022-07-10 7:43:18,26.87,46.52,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--00-20-49_2__segment3.wav,3,1,1,2,2022-07-03 0:20:49,20.45,36.34,Queen_Accepted
../archive/sound_files/sound_files/2022-07-12--02-23-55_2__segment2.wav,3,1,1,2,2022-07-12 2:23:55,18.56,45.74,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--15-39-44_2__segment5.wav,3,1,1,2,2022-07-10 15:39:44,35.29,21.02,Queen_Accepted
../archive/sound_files/sound_files/2022-06-25--12-41-58_2__segment0.wav,0,1,1,2,2022-06-25 12:41:58,38.29,24.52,Queenright
../archive/sound_files/sound_files/2022-06-28--19-29-03_2__segment2.wav,2,1,1,2,2022-06-28 19:29:03,26.09,30.45,Queen_New
../archive/sound_files/sound_files/2022-06-30--13-43-06_2__segment2.wav,2,1,1,2,2022-06-30 13:43:06,42.77,16.48,Queen_New
../archive/sound_files/sound_files/2022-07-09--00-04-21_2__segment2.wav,3,1,1,2,2022-07-09 0:04:21,18.42,39.55,Queen_Accepted
../archive/sound_files/sound_files/2022-06-26--21-39-11_2__segment4.wav,1,0,1,2,2022-06-26 21:39:11,20.47,41.57,Queenless
../archive/sound_files/sound_files/2022-07-08--15-08-24_2__segment2.wav,3,1,1,2,2022-07-08 15:08:24,32.53,25.36,Queen_Accepted
../archive/sound_files/sound_files/2022-07-02--18-25-48_2__segment1.wav,3,1,1,2,2022-07-02 18:25:48,24.86,37.26,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--05-40-59_2__segment5.wav,3,1,1,2,2022-07-06 5:40:59,20.83,46.19,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--20-35-10_2__segment0.wav,3,1,1,2,2022-07-10 20:35:10,26.23,37.57,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--13-40-52_2__segment1.wav,3,1,1,2,2022-07-10 13:40:52,43.21,14.48,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--05-15-11_2__segment5.wav,0,1,1,2,2022-06-16 5:15:11,17.78,26.32,Queenright
../archive/sound_files/sound_files/2022-06-27--22-22-43_2__segment4.wav,2,1,1,2,2022-06-27 22:22:43,21.02,53.04,Queen_New
../archive/sound_files/sound_files/2022-07-10--06-43-27_2__segment1.wav,3,1,1,2,2022-07-10 6:43:27,17.09,44.29,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--06-31-57_2__segment4.wav,1,0,1,2,2022-06-27 6:31:57,21.99,41.08,Queenless
../archive/sound_files/sound_files/2022-07-10--23-32-49_2__segment4.wav,3,1,1,2,2022-07-10 23:32:49,21.6,44.88,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--01-20-01_2__segment5.wav,3,1,1,2,2022-07-03 1:20:01,20.72,36.32,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--17-04-50_2__segment3.wav,0,1,1,2,2022-06-16 17:04:50,27.24,24.77,Queenright
../archive/sound_files/sound_files/2022-06-29--00-24-37_2__segment0.wav,2,1,1,2,2022-06-29 0:24:37,19.78,32.12,Queen_New
../archive/sound_files/sound_files/2022-06-24--12-02-08_2__segment2.wav,0,1,1,2,2022-06-24 12:02:08,39.64,20.42,Queenright
../archive/sound_files/sound_files/2022-07-05--06-52-51_2__segment4.wav,3,1,1,2,2022-07-05 6:52:51,22.38,46.98,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--20-24-33_2__segment3.wav,2,1,1,2,2022-06-27 20:24:33,24.26,42.74,Queen_New
../archive/sound_files/sound_files/2022-07-12--04-22-20_2__segment1.wav,3,1,1,2,2022-07-12 4:22:20,18.28,47.01,Queen_Accepted
../archive/sound_files/sound_files/2022-07-05--10-50-37_2__segment5.wav,3,1,1,2,2022-07-05 10:50:37,46.88,24.73,Queen_Accepted
../archive/sound_files/sound_files/2022-07-09--18-54-22_2__segment0.wav,3,1,1,2,2022-07-09 18:54:22,26.77,35.04,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--01-18-24_2__segment2.wav,0,1,1,2,2022-06-16 1:18:24,18.82,24.42,Queenright
../archive/sound_files/sound_files/2022-06-29--17-59-12_2__segment1.wav,2,1,1,2,2022-06-29 17:59:12,27.75,31.04,Queen_New
../archive/sound_files/sound_files/2022-07-12--08-19-19_2__segment0.wav,3,1,1,2,2022-07-12 8:19:19,28.08,44.63,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--08-38-42_2__segment5.wav,3,1,1,2,2022-07-06 8:38:42,24.75,45.41,Queen_Accepted
../archive/sound_files/sound_files/2022-07-11--08-28-20_2__segment5.wav,3,1,1,2,2022-07-11 8:28:20,37.45,35.05,Queen_Accepted
